age_years,ssc_percentage,hsc_percentage,degree_percentage,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status,gender_Male,gender_female,gender_male,degree_specialization_Electronics,degree_specialization_Information Technology,degree_specialization_Mechanical,degree_specialization_Others,company_tier_Tier 1 ,company_tier_Tier 2,company_tier_Tier 2 ,company_tier_Tier 3,company_tier_Tier 3 ,job_role_match_Not Matched,experience_category
24,67.88562562,64.9733049,73.09358751,71.92797829,54.59197128,61.07730586,73.31613397,1,yes ,0,Not Willing,Relevant,9.858154927,10.80773871,High,Required,0.0,No,0.0,Not Willing,0,True,False,False,True,False,False,False,False,False,False,False,False,False,Fresher
33,73.89247134,68.83412115,90.19645955,72.44504078,58.58708791,79.49473855,75.46698001,1,Yes,1,Willing,Relevant,5.801817334,5.476838811,Low,Not Required,0.0,No,3.0,Not Willing,1,False,False,False,False,True,False,False,False,False,False,True,False,True,Junior
31,74.14556809,76.2551257,75.58673114,78.85567645,61.0220652,53.74038581,73.67644856,2,No,0,Not Willing,Relevant,2.129805168,9.980580456,Low,Not Required,0.0,Yes,6.0,No,0,True,False,False,False,False,True,False,False,True,False,False,False,False,Fresher
28,60.47593691,65.78633641,80.80100976,68.28677635,65.71373104,61.4383138,88.99484701,1,No,0,Willing,Not Relevant,7.948314171,8.921232877,Medium,Not Required,0.0,No,3.0,Willing,0,True,False,False,False,True,False,False,False,True,False,False,False,False,Fresher
33,60.64176804,66.15184339,78.20345543,85.0639399,46.2930895,47.63885806,78.30741076,1,Yes,1,No,Relevant,4.918529895,3.0,Low,Not Required,60.0,No,0.0,Not Willing,1,False,False,False,False,False,False,True,False,True,False,False,False,True,Junior
25,78.22419102,69.57828161,79.87095881,85.16806712,47.18832829,70.34877816,79.93595589,1,Yes,1,Not Willing,0,7.946909821,7.114405929,Low,Not Required,0.0,No,0.0,Not Willing,1,False,False,False,False,False,True,False,False,False,True,False,False,False,Junior
27,69.97121038,69.11135037,75.43067892,75.67219632,56.39174274,76.38315475,77.54633503,0,Yes,3,Willing,Relevant,8.056013034,3.103733564,Medium,Not Required,0.0,No,0.0,Not Willing,1,False,False,False,False,False,False,True,False,False,False,False,False,False,Junior
30,69.53575432,78.75750675,79.75754317,78.28282251,62.64748399,81.62984622,67.93183956,3,yes ,2,Not Willing,Relevant,4.190206248,3.0,Low,Not Required,15.0,No,0.0,No,1,False,False,False,False,False,True,False,False,False,False,True,False,False,Junior
23,70.97246059,78.1016055,72.76789671,54.55425758,61.05590521,59.56795687,95.12514466,0,No,2,Willing,Relevant,5.925224928,3.091101727,High,Required,0.0,No,0.0,Willing,0,False,True,False,False,False,True,False,False,False,False,False,False,True,Junior
27,81.74092172,84.46541017,67.32176109,76.43752569,58.92281455,59.710614,68.00911146,2,No,1,Not Willing,Relevant,3.889562141,4.40083431,Medium,Not Required,60.0,No,6.0,Not Willing,0,True,False,False,True,False,False,False,False,False,False,True,False,False,Junior
28,64.60070564,72.01438305,76.59518439,63.32095149,69.52912179,69.89439066,74.8612567,0,Yes,4,Willing,0,7.285382577,12.33907146,High,Not Required,30.0,No,0.0,No,1,True,False,False,False,False,False,False,False,True,False,False,False,False,Senior
25,88.516513,71.51729896,74.02691872,60.06003574,63.69907848,60.43254696,66.5582156,2,Yes,3,No,0,5.629606221,6.341400159,Medium,Required,30.0,No,0.0,No,0,True,False,False,True,False,False,False,False,False,False,True,False,True,Junior
24,75.60626671,63.10068135,66.10440966,56.24989332,57.68756311,74.74099886,98.11701211,2,No,3,Willing,Relevant,5.249854133,9.205483613,Low,Not Required,0.0,No,6.0,No,0,True,False,False,False,False,False,False,False,False,False,True,False,False,Junior
28,80.93637199,61.03302949,69.13521349,63.01882271,54.81017628,52.08486827,82.96346108,3,No,0,Not Willing,Relevant,5.207203153,6.231450092,Medium,Not Required,15.0,No,0.0,No,0,False,False,False,False,False,False,True,False,False,False,False,False,False,Fresher
28,68.09292081,60.58278437,81.9400543,75.7405444,66.31287997,61.3172778,83.91692529,1,No,3,Not Willing,0,2.545673673,9.196304512,Medium,Not Required,60.0,No,0.0,Willing,0,False,True,False,False,False,False,False,False,False,False,True,False,False,Junior
